,Player,Base Price,TYPE,COST IN ₹ (CR.),Sold Prize,2021 Squad,2022 Squad
386,Chintal Gandhi,2000000,BOWLER,,0,,Unsold
387,Jacob Lintott,2000000,BOWLER,,0,,Unsold
388,Izharulhuq Naveed,2000000,BOWLER,,0,,Unsold
389,Tanveer Sangha,2000000,BOWLER,,0,,Unsold
390,Manav Suthar,2000000,BOWLER,,0,,Unsold
391,Mumbai Indianslind Tandon,2000000,BOWLER,,0,,Unsold
392,Sagar Udeshi,2000000,BOWLER,,0,,Unsold
393,Kushaal Wadhwani,2000000,BOWLER,,0,,Unsold
394,Akshay Wakhare,2000000,BOWLER,,0,,Unsold
395,DaRajasthan Royalsen Bravo,7500000,BATTER,,0,,Unsold
396,Shamrah Brooks,5000000,BATTER,,0,,Unsold
397,Avishka Fernando,5000000,BATTER,,0,,Unsold
398,Zubayr Hamza,5000000,BATTER,,0,,Unsold
399,Pathum Nissaanka,5000000,BATTER,,0,,Unsold
400,Kurtis Patterson,5000000,BATTER,,0,,Unsold
401,Hashmatullah Shahidi,5000000,BATTER,,0,,Unsold
402,Manoj Tiwary,5000000,BATTER,,0,,Unsold
403,Ashton Agar,20000000,ALL-ROUNDER,,0,,Unsold
404,Carlos Brath15000000e,7500000,ALL-ROUNDER,,0,,Unsold
405,Kedar Jadhav,10000000,ALL-ROUNDER,,0,Sunrisers Hyderabad,Unsold
406,Colin Munro,15000000,ALL-ROUNDER,,0,,Unsold
407,Gulbadin Naib,5000000,ALL-ROUNDER,,0,,Unsold
408,Keemo Paul,7500000,ALL-ROUNDER,,0,,Unsold
409,Parvez Rasool,5000000,ALL-ROUNDER,,0,,Unsold
410,Dasun Shanaka,5000000,ALL-ROUNDER,,0,,Unsold
411,Wesley Agar,5000000,BOWLER,,0,,Unsold
412,Shoriful Islam,5000000,BOWLER,,0,,Unsold
413,Josh Little,5000000,BOWLER,,0,,Unsold
414,Blessing Muzarabani,5000000,BOWLER,,0,,Unsold
415,Jayden Seales,5000000,BOWLER,,0,,Unsold
416,Mohit Sharma,5000000,BOWLER,,0,,Unsold
417,Barinder Sran,5000000,BOWLER,,0,,Unsold
418,Billy Stanlake,7500000,BOWLER,,0,,Unsold
419,Neil Wagner,5000000,BOWLER,,0,,Unsold
420,Qamran Iqbal,2000000,BATTER,,0,,Unsold
421,Ishank Jaggi,2000000,BATTER,,0,,Unsold
422,Rohan Kunnummal,2000000,BATTER,,0,,Unsold
423,Tanmay Mumbai Indiansshra,2000000,BATTER,,0,,Unsold
424,Yash Nahar,2000000,BATTER,,0,,Unsold
425,Shubham Singh Rohilla,2000000,BATTER,,0,,Unsold
426,Alex Ross,2000000,BATTER,,0,,Unsold
427,Naushad Shaikh,2000000,BATTER,,0,,Unsold
428,Baba Aparajith,2000000,ALL-ROUNDER,,0,,Unsold
429,Prayas Barman,2000000,ALL-ROUNDER,,0,,Unsold
430,Yudhvir Charak,2000000,ALL-ROUNDER,,0,Mumbai Indians,Unsold
431,Shubhang Hegde,2000000,ALL-ROUNDER,,0,,Unsold
432,Roosh Kalaria,2000000,ALL-ROUNDER,,0,,Unsold
433,Tanush Kotian,2000000,ALL-ROUNDER,,0,,Unsold
434,Kaushal Tambe,2000000,ALL-ROUNDER,,0,,Unsold
435,Shivank Vashisth,2000000,ALL-ROUNDER,,0,,Unsold
436,Rahul Chandrol,2000000,WICKETKEEPER,,0,,Unsold
437,Harvik Desai,2000000,WICKETKEEPER,,0,,Unsold
438,Cam Fletcher,2000000,WICKETKEEPER,,0,,Unsold
439,Tarang Gohel,2000000,WICKETKEEPER,,0,,Unsold
440,Fazil Makaya,2000000,WICKETKEEPER,,0,,Unsold
441,Ryan Rickelton,2000000,WICKETKEEPER,,0,,Unsold
442,Sandeep Kumar Tomar,2000000,WICKETKEEPER,,0,,Unsold
443,Siddhesh Wath,2000000,WICKETKEEPER,,0,,Unsold
444,Stephen Cheepurupalli,2000000,BOWLER,,0,,Unsold
445,Aniket Choudhary,2000000,BOWLER,,0,,Unsold
446,Kartikeya Kak,2000000,BOWLER,,0,,Unsold
447,Ali Khan,4000000,BOWLER,,0,,Unsold
448,Kulwant Khejroliya,2000000,BOWLER,,0,Delhi Capitals,Unsold
449,Ronit More,2000000,BOWLER,,0,,Unsold
450,M Nidheesh,2000000,BOWLER,,0,,Unsold
451,Babasafi Pathan,2000000,BOWLER,,0,,Unsold
452,Vidyadhar Patil,2000000,BOWLER,,0,,Unsold
453,Mukesh Kumar Singh,2000000,BOWLER,,0,,Unsold
454,R. Alexandar,2000000,BOWLER,,0,,Unsold
455,Adithya Ashok,2000000,BOWLER,,0,,Unsold
456,Jasmer Dhankhar,2000000,BOWLER,,0,,Unsold
457,Prerit Dutta,2000000,BOWLER,,0,,Unsold
458,Jon Russ Jaggesar,2000000,BOWLER,,0,,Unsold
459,S. Kishan Kumar,2000000,BOWLER,,0,,Unsold
460,Kevin Koththigoda,2000000,BOWLER,,0,,Unsold
461,Swaraj Wabale,2000000,BOWLER,,0,,Unsold
462,Curtis Campher,5000000,ALL-ROUNDER,,0,,Unsold
463,Colin De Grandhomme,10000000,ALL-ROUNDER,,0,,Unsold
464,James Faulkner,10000000,ALL-ROUNDER,,0,,Unsold
465,Craig Overton,20000000,ALL-ROUNDER,,0,,Unsold
466,Wayne Parnell,5000000,ALL-ROUNDER,,0,,Unsold
467,SaMumbai Indianst Patel,5000000,ALL-ROUNDER,,0,,Unsold
468,Thisara Perera,5000000,ALL-ROUNDER,,0,,Unsold
469,Darcy Short,10000000,ALL-ROUNDER,,0,,Unsold
470,Murali Vijay,5000000,ALL-ROUNDER,,0,,Unsold
471,Jack Wildermuth,5000000,ALL-ROUNDER,,0,,Unsold
472,HaMumbai Indianssh Bennett,5000000,BOWLER,,0,,Unsold
473,Daryn Dupavillon,5000000,BOWLER,,0,,Unsold
474,Fidel Edwards,5000000,BOWLER,,0,,Unsold
475,HaMumbai Indiansd Hassan,5000000,BOWLER,,0,,Unsold
476,Lahiru Kumara,5000000,BOWLER,,0,,Unsold
477,Joel Paris,5000000,BOWLER,,0,,Unsold
478,S. Sreesanth,5000000,BOWLER,,0,,Unsold
479,Oshane Thomas,5000000,BOWLER,,0,,Unsold
480,Blair Tickner,5000000,BOWLER,,0,,Unsold
481,Isuru Udana,5000000,BOWLER,,0,,Unsold
482,Donavon FeRajasthan Royalseira,2000000,BATTER,,0,,Unsold
483,Bhupen Lalwani,2000000,BATTER,,0,,Unsold
484,Henan Malik,2000000,BATTER,,0,,Unsold
485,Pukhraj Mann,2000000,BATTER,,0,,Unsold
486,Shashwat Rawat,2000000,BATTER,,0,,Unsold
487,Jake Weatherald,2000000,BATTER,,0,,Unsold
488,Gerald Coetzee,2000000,ALL-ROUNDER,,0,,Unsold
489,Akshay Karnewar,2000000,ALL-ROUNDER,,0,,Unsold
490,SuMumbai Indianst Kumar,2000000,ALL-ROUNDER,,0,,Unsold
491,Abid Mushtaq,2000000,ALL-ROUNDER,,0,,Unsold
492,Lone Muzaffar,2000000,ALL-ROUNDER,,0,,Unsold
493,Ninad Rathva,2000000,ALL-ROUNDER,,0,,Unsold
494,Shoun Roger,2000000,ALL-ROUNDER,,0,,Unsold
495,Jaideep Bhambhu,2000000,BOWLER,,0,,Unsold
496,Nandre Burger,2000000,BOWLER,,0,,Unsold
497,Matt Kelly,3000000,BOWLER,,0,,Unsold
498,V Koushik,2000000,BOWLER,,0,,Unsold
499,Akash Madhwal,2000000,BOWLER,,0,,Unsold
500,AMumbai Indianst Mumbai Indiansshra,2000000,BOWLER,,0,,Unsold
501,Anuj Raj,2000000,BOWLER,,0,,Unsold
502,Abhijeet Saket,2000000,BOWLER,,0,,Unsold
503,Rahul Shukla,2000000,BOWLER,,0,,Unsold
504,Nuwan Thushara,2000000,BOWLER,,0,,Unsold
505,Mark Adnair,5000000,ALL-ROUNDER,,0,,Unsold
506,Hilton Cartwright,5000000,ALL-ROUNDER,,0,,Unsold
507,Gareth Delany,5000000,ALL-ROUNDER,,0,,Unsold
508,Danushka Gunatilaka,5000000,ALL-ROUNDER,,0,,Unsold
509,Anaru Kitchen,5000000,ALL-ROUNDER,,0,,Unsold
510,Dhananjaya Lakshan,5000000,ALL-ROUNDER,,0,,Unsold
511,Sisanda Magala,5000000,ALL-ROUNDER,,0,,Unsold
512,Andile Phehlukwayo,5000000,ALL-ROUNDER,,0,,Unsold
513,Seekkuge Prasanna,5000000,ALL-ROUNDER,,0,,Unsold
514,Raymon Reifer,5000000,ALL-ROUNDER,,0,,Unsold
515,AMumbai Indianst Ali,2000000,ALL-ROUNDER,,0,,Unsold
516,Chaitanya Bishnoi,2000000,ALL-ROUNDER,,0,,Unsold
517,Mayank Dagar,2000000,ALL-ROUNDER,,0,,Unsold
518,Mumbai Indiansgael Pretorius,2000000,ALL-ROUNDER,,0,,Unsold
519,Shivam Sharma,2000000,ALL-ROUNDER,,0,,Unsold
520,Pratyush Singh,2000000,ALL-ROUNDER,,0,,Unsold
521,Sanvir Singh,2000000,ALL-ROUNDER,,0,,Unsold
522,Dhrushant Soni,2000000,ALL-ROUNDER,,0,,Unsold
523,M Venkatesh,2000000,ALL-ROUNDER,,0,,Unsold
524,Bandaru Ayyappa,2000000,BOWLER,,0,,Unsold
525,Gurnoor Singh Brar,2000000,BOWLER,,0,,Unsold
526,Akash Choudhary,2000000,BOWLER,,0,,Unsold
527,Mohit Jangra,2000000,BOWLER,,0,,Unsold
528,Aaqib Khan,2000000,BOWLER,,0,,Unsold
529,Ruben Trumpelmann,2000000,BOWLER,,0,,Unsold
530,Brad Wheal,5000000,BOWLER,,0,,Unsold
531,Lalit Yadav,2000000,BOWLER,,0,,Unsold
532,Auqib Dar,2000000,ALL-ROUNDER,,0,,Unsold
533,Chirag Gandhi,2000000,ALL-ROUNDER,,0,,Unsold
534,Chris Green,4000000,ALL-ROUNDER,,0,,Unsold
535,Sijomon Joseph,2000000,ALL-ROUNDER,,0,,Unsold
536,Anirudha Joshi,2000000,ALL-ROUNDER,,0,Delhi Capitals,Unsold
537,Shubham Sharma,2000000,ALL-ROUNDER,,0,,Unsold
538,Shubham Singh,2000000,ALL-ROUNDER,,0,,Unsold
539,Arpit Guleria,2000000,BOWLER,,0,,Unsold
540,Vipul Krishna,2000000,BOWLER,,0,,Unsold
541,Safvan Patel,2000000,BOWLER,,0,,Unsold
542,Chinntla Readdi,2000000,BOWLER,,0,,Unsold
543,Manish Reddy,2000000,BOWLER,,0,,Unsold
544,Ravi Sharma,2000000,BOWLER,,0,,Unsold
545,Shubham Singh,2000000,BOWLER,,0,,Unsold
546,Corbin Bosch,2000000,ALL-ROUNDER,,0,,Unsold
547,Nathan McAndrew,2000000,ALL-ROUNDER,,0,,Unsold
548,Diwesh Pathania,2000000,ALL-ROUNDER,,0,,Unsold
549,Shubham Ranjane,2000000,ALL-ROUNDER,,0,,Unsold
550,Tom Rogers,2000000,ALL-ROUNDER,,0,,Unsold
551,Johannes SMumbai Indianst,2000000,ALL-ROUNDER,,0,,Unsold
552,Sagar Trivedi,2000000,ALL-ROUNDER,,0,,Unsold
553,Harsh Tyagi,2000000,ALL-ROUNDER,,0,,Unsold
554,R. Vivek,2000000,ALL-ROUNDER,,0,,Unsold
555,R.Sonu Yadav,2000000,ALL-ROUNDER,,0,,Unsold
556,V. Athisayaraj,2000000,BOWLER,,0,,Unsold
557,Ottneil Baartman,2000000,BOWLER,,0,,Unsold
558,M.B. Darshan,2000000,BOWLER,,0,,Unsold
559,V. Gowtham,2000000,BOWLER,,0,,Unsold
560,Khwezi Gumede,2000000,BOWLER,,0,,Unsold
561,Liam Guthrie,2000000,BOWLER,,0,,Unsold
562,Liam Hatcher,2000000,BOWLER,,0,,Unsold
563,Jay Bista,2000000,ALL-ROUNDER,,0,,Unsold
564,Saurav Chuahan,2000000,ALL-ROUNDER,,0,,Unsold
565,Tajinder Dhillon,2000000,ALL-ROUNDER,,0,,Unsold
566,Dikshanshu Negi,2000000,ALL-ROUNDER,,0,,Unsold
567,Abhishek Raut,2000000,ALL-ROUNDER,,0,,Unsold
568,K.V. Sasikanth,2000000,ALL-ROUNDER,,0,,Unsold
569,Bharat Sharma,2000000,ALL-ROUNDER,,0,,Unsold
570,Shivam Sharma,2000000,ALL-ROUNDER,,0,,Unsold
571,AMumbai Indianst Yadav,2000000,ALL-ROUNDER,,0,,Unsold
572,Manoj Bhandage,2000000,ALL-ROUNDER,,0,,Unsold
573,Arun Chaprana,2000000,ALL-ROUNDER,,0,,Unsold
574,Ajay Dev Goud,2000000,ALL-ROUNDER,,0,,Unsold
575,Divyang Hinganekar,2000000,ALL-ROUNDER,,0,,Unsold
576,Azim Kazi,2000000,ALL-ROUNDER,,0,,Unsold
577,Sujit Nayak,2000000,ALL-ROUNDER,,0,,Unsold
578,Parth Sahani,2000000,ALL-ROUNDER,,0,,Unsold
579,Ashutosh Sharma,2000000,ALL-ROUNDER,,0,,Unsold
580,Vivrant Sharma,2000000,ALL-ROUNDER,,0,,Unsold
581,Kumar Kartikeya Singh,2000000,ALL-ROUNDER,,0,,Unsold
582,Ravi Chauhan,2000000,ALL-ROUNDER,,0,,Unsold
583,Shafiqullah Ghafari,2000000,ALL-ROUNDER,,0,,Unsold
584,M. Mohammed,2000000,ALL-ROUNDER,,0,,Unsold
585,Pulkit Narang,2000000,ALL-ROUNDER,,0,,Unsold
586,Pradosh Paul,2000000,ALL-ROUNDER,,0,,Unsold
587,Pushpendra Singh Rathore,2000000,ALL-ROUNDER,,0,,Unsold
588,Jason Sangha,2000000,ALL-ROUNDER,,0,,Unsold
589,Purnank Tyagi,2000000,ALL-ROUNDER,,0,,Unsold
590,Samarth Vyas,2000000,ALL-ROUNDER,,0,,Unsold
591,Duan Jansen,2000000,ALL-ROUNDER,,0,,Unsold
592,Dev Lakra,2000000,ALL-ROUNDER,,0,,Unsold
593,Ajay Mandal,2000000,ALL-ROUNDER,,0,,Unsold
594,Lakhan Raja,2000000,ALL-ROUNDER,,0,,Unsold
595,Girinath Reddy,2000000,ALL-ROUNDER,,0,,Unsold
596,Siddhant Sharma,2000000,ALL-ROUNDER,,0,,Unsold
597,Matthew Short,2000000,ALL-ROUNDER,,0,,Unsold
598,Saurin Thakar,2000000,ALL-ROUNDER,,0,,Unsold
599,Nyeem Young,2000000,ALL-ROUNDER,,0,,Unsold
600,Yuvraj Chaudhary,2000000,ALL-ROUNDER,,0,,Unsold
601,Khizar Dafedar,2000000,ALL-ROUNDER,,0,,Unsold
602,Sahil Dhiwan,2000000,ALL-ROUNDER,,0,,Unsold
603,Arjit Gupta,2000000,ALL-ROUNDER,,0,,Unsold
604,Mumbai Indiansckil Jaiswal,2000000,ALL-ROUNDER,,0,,Unsold
605,Ryan John,2000000,ALL-ROUNDER,,0,,Unsold
606,J. Kousik,2000000,ALL-ROUNDER,,0,,Unsold
607,Jitender Pal,2000000,ALL-ROUNDER,,0,,Unsold
608,Jonty Sidhu,2000000,ALL-ROUNDER,,0,,Unsold
609,Yashovardhan Singh,2000000,ALL-ROUNDER,,0,,Unsold
610,Beyers Swanepoel,2000000,ALL-ROUNDER,,0,,Unsold
611,Pranshu Vijayran,2000000,ALL-ROUNDER,,0,,Unsold
612,Ishan Afridi,2000000,ALL-ROUNDER,,0,,Unsold
613,Mohammed Afridi,2000000,ALL-ROUNDER,,0,,Unsold
614,Prerit Agrawal,2000000,ALL-ROUNDER,,0,,Unsold
615,Aidan Cahill,2000000,ALL-ROUNDER,,0,,Unsold
616,Mark Deyal,2000000,ALL-ROUNDER,,0,,Unsold
617,Nidhish Rajagopal,2000000,ALL-ROUNDER,,0,,Unsold
618,Bavanaka Sandeep,2000000,ALL-ROUNDER,,0,,Unsold
619,Safyaan Sharif,2000000,ALL-ROUNDER,,0,,Unsold
620,Henry Shipley,2000000,ALL-ROUNDER,,0,,Unsold
621,Maxwell SwaMumbai Indiansnathan,2000000,ALL-ROUNDER,,0,,Unsold
622,Johan Van Dyk,2000000,ALL-ROUNDER,,0,,Unsold
623,Dunith Wellalage,2000000,ALL-ROUNDER,,0,,Unsold
624,Agnivesh Ayachi,2000000,ALL-ROUNDER,,0,Punjab Kings,Unsold
625,Rohan Rana,2000000,ALL-ROUNDER,,0,,Unsold
626,Nitish Reddy,2000000,ALL-ROUNDER,,0,,Unsold
627,Hardik Tamore,2000000,WICKETKEEPER,,0,,Unsold
628,Mumbai Indianshir Hirwani,2000000,BOWLER,,0,,Unsold
629,Sairaj Patil,2000000,BATTER,,0,,Unsold
630,Monu Singh,2000000,BOWLER,,0,,Unsold
631,Nivethan Radhakrishnan,2000000,BOWLER,,0,,Unsold
632,Lance MoRajasthan Royalsis,2000000,BOWLER,,0,,Unsold
633,Aaron Hardie,2000000,ALL-ROUNDER,,0,,Unsold
